feature,importance,model
ap_hi,0.455832061714227,Random Forest
ap_lo,0.1831999059009738,Random Forest
age,0.1415312676419674,Random Forest
cholesterol,0.0944735002850686,Random Forest
weight,0.0588542181173751,Random Forest
height,0.0292789303984743,Random Forest
gluc,0.0136658936462117,Random Forest
active,0.0086650385261654,Random Forest
smoke,0.0051080311510217,Random Forest
gender,0.0050430709246798,Random Forest
alco,0.0043480816938347,Random Forest
ap_hi,0.712419545246299,Gradient Boosting
age,0.1356927172529274,Gradient Boosting
cholesterol,0.0773118440592181,Gradient Boosting
weight,0.0270496833865002,Gradient Boosting
ap_lo,0.0134805559862335,Gradient Boosting
height,0.0095535681350231,Gradient Boosting
active,0.0087526235418212,Gradient Boosting
gluc,0.0071907970209422,Gradient Boosting
smoke,0.0043635554159868,Gradient Boosting
alco,0.0026449225249503,Gradient Boosting
gender,0.0015401874300976,Gradient Boosting
